invoice_no,invoice_date,total_qty,total_amount,total_amount_inwords
3051,16/Sep/2025,18.5,4100.0,Four Thousand One Hundred Rs.
005502,24/Dec/2025,1.25,292.00,Two Hundred Ninety-Two Rs.
